customerid,totalTransactions,monetary,timeDiff,Fscore,Mscore,Rscore,RFMscore,RFMcell
12347.0,182,4310.0,1251.5595238095236,5.0,5.0,4.0,4.666666666666667,"[5.0, 5.0, 4.0]"
12348.0,31,1797.24,1696.5166666666667,3.0,4.0,5.0,4.0,"[3.0, 4.0, 5.0]"
12349.0,73,1757.55,0.0,4.0,4.0,0.0,2.6666666666666665,"[4.0, 4.0, 0.0]"
12350.0,17,334.4,0.0,2.0,2.0,0.0,1.3333333333333333,"[2.0, 2.0, 0.0]"
12352.0,95,1545.4099999999999,567.4606060606061,4.0,4.0,2.0,3.3333333333333335,"[4.0, 4.0, 2.0]"
12353.0,4,89.0,0.0,1.0,1.0,0.0,0.6666666666666666,"[1.0, 1.0, 0.0]"
12354.0,58,1079.4,0.0,3.0,4.0,0.0,2.3333333333333335,"[3.0, 4.0, 0.0]"
12355.0,13,459.4,0.0,1.0,2.0,0.0,1.0,"[1.0, 2.0, 0.0]"
12356.0,59,2811.43,2423.6111111111113,3.0,5.0,5.0,4.333333333333333,"[3.0, 5.0, 5.0]"
12357.0,131,6207.67,0.0,5.0,5.0,0.0,3.3333333333333335,"[5.0, 5.0, 0.0]"
12358.0,19,1168.0600000000002,1788.1833333333334,2.0,4.0,5.0,3.6666666666666665,"[2.0, 4.0, 5.0]"
12359.0,254,6245.53,1295.7722222222221,5.0,5.0,4.0,4.666666666666667,"[5.0, 5.0, 4.0]"
12360.0,129,2662.06,1185.8833333333332,5.0,5.0,4.0,4.666666666666667,"[5.0, 5.0, 4.0]"
12361.0,10,189.9,0.0,1.0,1.0,0.0,0.6666666666666666,"[1.0, 1.0, 0.0]"
12362.0,274,5154.58,539.4743589743589,5.0,5.0,2.0,4.0,"[5.0, 5.0, 2.0]"
12363.0,23,552.0,1594.4083333333333,2.0,3.0,5.0,3.3333333333333335,"[2.0, 3.0, 5.0]"
12364.0,85,1313.1,628.7416666666667,4.0,4.0,2.0,3.3333333333333335,"[4.0, 4.0, 2.0]"
12365.0,23,320.69,0.07222222222222222,2.0,2.0,1.0,1.6666666666666667,"[2.0, 2.0, 1.0]"
12367.0,11,168.9,0.0,1.0,1.0,0.0,0.6666666666666666,"[1.0, 1.0, 0.0]"
12370.0,167,3545.69,1854.4708333333333,5.0,5.0,5.0,5.0,"[5.0, 5.0, 5.0]"
12371.0,63,1887.96,179.775,4.0,4.0,1.0,3.0,"[4.0, 4.0, 1.0]"
12372.0,52,1298.04,1799.8111111111111,3.0,4.0,5.0,4.0,"[3.0, 4.0, 5.0]"
12373.0,14,364.6,0.0,1.0,2.0,0.0,1.0,"[1.0, 2.0, 0.0]"
12374.0,33,742.9300000000001,0.0,3.0,3.0,0.0,2.0,"[3.0, 3.0, 0.0]"
12375.0,18,455.42,767.0222222222222,2.0,2.0,3.0,2.3333333333333335,"[2.0, 2.0, 3.0]"
12377.0,77,1628.12,471.06666666666666,4.0,4.0,2.0,3.3333333333333335,"[4.0, 4.0, 2.0]"
12378.0,219,4008.62,0.0,5.0,5.0,0.0,3.3333333333333335,"[5.0, 5.0, 0.0]"
12379.0,41,850.29,709.8722222222223,3.0,3.0,3.0,3.0,"[3.0, 3.0, 3.0]"
12380.0,105,2720.56,787.5266666666666,4.0,5.0,3.0,4.0,"[4.0, 5.0, 3.0]"
12381.0,91,1803.96,460.4638888888889,4.0,4.0,2.0,3.3333333333333335,"[4.0, 4.0, 2.0]"
12383.0,100,1839.31,670.9277777777778,4.0,4.0,3.0,3.6666666666666665,"[4.0, 4.0, 3.0]"
12384.0,30,566.16,743.088888888889,2.0,3.0,3.0,2.6666666666666665,"[2.0, 3.0, 3.0]"
12386.0,10,401.9,349.3666666666667,1.0,2.0,2.0,1.6666666666666667,"[1.0, 2.0, 2.0]"
12388.0,100,2780.6600000000003,1244.2166666666665,4.0,5.0,4.0,4.333333333333333,"[4.0, 5.0, 4.0]"
12390.0,32,549.84,0.0,3.0,3.0,0.0,2.0,"[3.0, 3.0, 0.0]"
12391.0,100,460.89,0.0,4.0,2.0,0.0,2.0,"[4.0, 2.0, 0.0]"
12393.0,64,1582.6000000000001,1561.475,4.0,4.0,5.0,4.333333333333333,"[4.0, 4.0, 5.0]"
12394.0,27,1272.48,1845.0583333333334,2.0,4.0,5.0,3.6666666666666665,"[2.0, 4.0, 5.0]"
12395.0,159,2998.28,569.3166666666667,5.0,5.0,2.0,4.0,"[5.0, 5.0, 2.0]"
12397.0,126,2409.9,1197.7583333333334,5.0,5.0,4.0,4.666666666666667,"[5.0, 5.0, 4.0]"
12398.0,85,1635.66,0.0,4.0,4.0,0.0,2.6666666666666665,"[4.0, 4.0, 0.0]"
12399.0,59,1108.65,852.8875,3.0,4.0,3.0,3.3333333333333335,"[3.0, 4.0, 3.0]"
12401.0,5,84.3,0.0,1.0,1.0,0.0,0.6666666666666666,"[1.0, 1.0, 0.0]"
12402.0,11,225.60000000000002,0.0,1.0,1.0,0.0,0.6666666666666666,"[1.0, 1.0, 0.0]"
12403.0,6,409.7,0.075,1.0,2.0,1.0,1.3333333333333333,"[1.0, 2.0, 1.0]"
12405.0,54,1710.39,0.0,3.0,4.0,0.0,2.3333333333333335,"[3.0, 4.0, 0.0]"
12406.0,108,3280.75,1290.9944444444445,4.0,5.0,4.0,4.333333333333333,"[4.0, 5.0, 4.0]"
12407.0,77,1708.12,1031.3666666666668,4.0,4.0,4.0,4.0,"[4.0, 4.0, 4.0]"
12408.0,113,2842.57,607.7481481481482,4.0,5.0,2.0,3.6666666666666665,"[4.0, 5.0, 2.0]"
12409.0,114,11056.93,356.3309523809524,4.0,5.0,2.0,3.6666666666666665,"[4.0, 5.0, 2.0]"
12410.0,28,681.08,57.71666666666667,2.0,3.0,1.0,2.0,"[2.0, 3.0, 1.0]"
12412.0,61,1226.88,758.8055555555555,4.0,4.0,3.0,3.6666666666666665,"[4.0, 4.0, 3.0]"
12413.0,40,694.15,1299.36,3.0,3.0,4.0,3.3333333333333335,"[3.0, 3.0, 4.0]"
